State,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank
Alabama,State,1910,2138093,16.9,42.2,25.0
Alabama,State,1920,2348174,9.8,46.4,25.0
Alabama,State,1930,2646248,12.7,52.3,24.0
Alabama,State,1940,2832961,7.1,55.9,23.0
Alabama,State,1950,3061743,8.1,60.5,24.0
Alabama,State,1960,3266740,6.7,64.5,28.0
Alabama,State,1970,3444165,5.4,68,28.0
Alabama,State,1980,3893888,13.1,76.9,28.0
Alabama,State,1990,4040587,3.8,79.8,27.0
Alabama,State,2000,4447100,10.1,87.8,28.0
Alabama,State,2010,4779736,7.5,94.4,29.0
Alabama,State,2020,5024279,5.1,99.2,29.0
Alaska,State,1910,64356,1.2,0.1,52.0
Alaska,State,1920,55036,-14.5,0.1,52.0
Alaska,State,1930,59278,7.7,0.1,52.0
Alaska,State,1940,72524,22.3,0.1,52.0
Alaska,State,1950,128643,77.4,0.2,52.0
Alaska,State,1960,226167,75.8,0.4,52.0
Alaska,State,1970,300382,32.8,0.5,52.0
Alaska,State,1980,401851,33.8,0.7,52.0
Alaska,State,1990,550043,36.9,1,52.0
Alaska,State,2000,626932,14.0,1.1,52.0
Alaska,State,2010,710231,13.3,1.2,52.0
Alaska,State,2020,733391,3.3,1.3,52.0
Arizona,State,1910,204354,66.2,1.8,49.0
Arizona,State,1920,334162,63.5,2.9,49.0
Arizona,State,1930,435573,30.3,3.8,47.0
Arizona,State,1940,499261,14.6,4.4,47.0
Arizona,State,1950,749587,50.1,6.6,47.0
Arizona,State,1960,1302161,73.7,11.5,43.0
Arizona,State,1970,1770900,36.0,15.6,43.0
Arizona,State,1980,2718215,53.5,23.9,42.0
Arizona,State,1990,3665228,34.8,32.3,39.0
Arizona,State,2000,5130632,40.0,45.2,38.0
Arizona,State,2010,6392017,24.6,56.3,35.0
Arizona,State,2020,7151502,11.9,62.9,35.0
Arkansas,State,1910,1574449,20.0,30.3,30.0
Arkansas,State,1920,1752204,11.3,33.7,31.0
Arkansas,State,1930,1854482,5.8,35.6,32.0
Arkansas,State,1940,1949387,5.1,37.5,32.0
Arkansas,State,1950,1909511,-2.0,36.7,34.0
Arkansas,State,1960,1786272,-6.5,34.3,36.0
Arkansas,State,1970,1923295,7.7,37,37.0
Arkansas,State,1980,2286435,18.9,43.9,37.0
Arkansas,State,1990,2350725,2.8,45.2,37.0
Arkansas,State,2000,2673400,13.7,51.4,36.0
Arkansas,State,2010,2915918,9.1,56,36.0
Arkansas,State,2020,3011524,3.3,57.9,36.0
California,State,1910,2377549,60.1,15.3,38.0
California,State,1920,3426861,44.1,22,35.0
California,State,1930,5677251,65.7,36.4,31.0
California,State,1940,6907387,21.7,44.3,30.0
California,State,1950,10586223,53.3,68,22.0
California,State,1960,15717204,48.5,100.9,15.0
California,State,1970,19953134,27.0,128.1,15.0
California,State,1980,23667902,18.6,151.9,16.0
California,State,1990,29760021,25.7,191,14.0
California,State,2000,33871648,13.8,217.4,14.0
California,State,2010,37253956,10.0,239.1,13.0
California,State,2020,39538223,6.1,253.7,13.0
Colorado,State,1910,799024,48.0,7.7,42.0
Colorado,State,1920,939629,17.6,9.1,42.0
Colorado,State,1930,1035791,10.2,10,41.0
Colorado,State,1940,1123296,8.4,10.8,42.0
Colorado,State,1950,1325089,18.0,12.8,42.0
Colorado,State,1960,1753947,32.4,16.9,42.0
Colorado,State,1970,2207259,25.8,21.3,41.0
Colorado,State,1980,2889964,30.9,27.9,40.0
Colorado,State,1990,3294394,14.0,31.8,40.0
Colorado,State,2000,4301261,30.6,41.5,39.0
Colorado,State,2010,5029196,16.9,48.5,39.0
Colorado,State,2020,5773714,14.8,55.7,39.0
Connecticut,State,1910,1114756,22.7,230.2,6.0
Connecticut,State,1920,1380631,23.9,285.1,6.0
Connecticut,State,1930,1606903,16.4,331.8,6.0
Connecticut,State,1940,1709242,6.4,353,6.0
Connecticut,State,1950,2007280,17.4,414.5,6.0
Connecticut,State,1960,2535234,26.3,523.6,6.0
Connecticut,State,1970,3031709,19.6,626.1,6.0
Connecticut,State,1980,3107576,2.5,641.7,6.0
Connecticut,State,1990,3287116,5.8,678.8,6.0
Connecticut,State,2000,3405565,3.6,703.3,6.0
Connecticut,State,2010,3574097,4.9,738.1,6.0
Connecticut,State,2020,3605944,0.9,744.7,6.0
Delaware,State,1910,202322,9.5,103.8,11.0
Delaware,State,1920,223003,10.2,114.4,12.0
Delaware,State,1930,238380,6.9,122.3,12.0
Delaware,State,1940,266505,11.8,136.8,12.0
Delaware,State,1950,318085,19.4,163.2,11.0
Delaware,State,1960,446292,40.3,229,11.0
Delaware,State,1970,548104,22.8,281.3,9.0
Delaware,State,1980,594338,8.4,305,9.0
Delaware,State,1990,666168,12.1,341.9,9.0
Delaware,State,2000,783600,17.6,402.1,9.0
Delaware,State,2010,897934,14.6,460.8,8.0
Delaware,State,2020,989948,10.2,508,8.0
District of Columbia,State,1910,331069,18.8,"5,423.10",1.0
District of Columbia,State,1920,437571,32.2,"7,167.60",1.0
District of Columbia,State,1930,486869,11.3,"7,975.10",1.0
District of Columbia,State,1940,663091,36.2,"10,861.70",1.0
District of Columbia,State,1950,802178,21.0,"13,140.00",1.0
District of Columbia,State,1960,763956,-4.8,"12,513.90",1.0
District of Columbia,State,1970,756510,-1.0,"12,392.00",1.0
District of Columbia,State,1980,638333,-15.6,"10,456.20",1.0
District of Columbia,State,1990,606900,-4.9,"9,941.30",1.0
District of Columbia,State,2000,572059,-5.7,"9,370.60",1.0
District of Columbia,State,2010,601723,5.2,"9,856.50",1.0
District of Columbia,State,2020,689545,14.6,"11,280.00",1.0
Florida,State,1910,752619,42.4,14,40.0
Florida,State,1920,968470,28.7,18.1,38.0
Florida,State,1930,1468211,51.6,27.4,35.0
Florida,State,1940,1897414,29.2,35.4,33.0
Florida,State,1950,2771305,46.1,51.7,29.0
Florida,State,1960,4951560,78.7,92.3,19.0
Florida,State,1970,6789443,37.1,126.6,16.0
Florida,State,1980,9746324,43.6,181.8,13.0
Florida,State,1990,12937926,32.7,241.3,12.0
Florida,State,2000,15982378,23.5,298,10.0
Florida,State,2010,18801310,17.6,350.6,10.0
Florida,State,2020,21538187,14.6,401.4,10.0
Georgia,State,1910,2609121,17.7,45.4,23.0
Georgia,State,1920,2895832,11.0,50.4,21.0
Georgia,State,1930,2908506,0.4,50.6,26.0
Georgia,State,1940,3123723,7.4,54.3,27.0
Georgia,State,1950,3444578,10.3,59.9,27.0
Georgia,State,1960,3943116,14.5,68.6,26.0
Georgia,State,1970,4589575,16.4,79.8,26.0
Georgia,State,1980,5463105,19.0,95,24.0
Georgia,State,1990,6478216,18.6,112.6,23.0
Georgia,State,2000,8186453,26.4,142.3,20.0
Georgia,State,2010,9687653,18.3,168.4,20.0
Georgia,State,2020,10711908,10.6,185.6,19.0
Hawaii,State,1910,191909,24.6,29.9,31.0
Hawaii,State,1920,255912,33.4,39.8,28.0
Hawaii,State,1930,368336,43.9,57.3,21.0
Hawaii,State,1940,423330,14.9,65.9,20.0
Hawaii,State,1950,499794,18.1,77.8,19.0
Hawaii,State,1960,632772,26.6,98.5,17.0
Hawaii,State,1970,768561,21.5,119.7,17.0
Hawaii,State,1980,964691,25.5,150.2,17.0
Hawaii,State,1990,1108229,14.9,172.6,15.0
Hawaii,State,2000,1211537,9.3,188.6,15.0
Hawaii,State,2010,1360301,12.3,211.8,15.0
Hawaii,State,2020,1455271,7.0,226.6,15.0
Idaho,State,1910,325594,101.3,3.9,46.0
Idaho,State,1920,431866,32.6,5.2,46.0
Idaho,State,1930,445032,3.0,5.4,46.0
Idaho,State,1940,524873,17.9,6.4,46.0
Idaho,State,1950,588637,12.1,7.1,46.0
Idaho,State,1960,667191,13.3,8.1,47.0
Idaho,State,1970,712567,6.8,8.6,47.0
Idaho,State,1980,943935,32.5,11.4,45.0
Idaho,State,1990,1006749,6.7,12.2,46.0
Idaho,State,2000,1293953,28.5,15.7,46.0
Idaho,State,2010,1567582,21.1,19,46.0
Idaho,State,2020,1839106,17.3,22.3,46.0
Illinois,State,1910,5638591,16.9,101.6,12.0
Illinois,State,1920,6485280,15.0,116.8,11.0
Illinois,State,1930,7630654,17.7,137.4,11.0
Illinois,State,1940,7897241,3.5,142.2,11.0
